team,rating
ARI,0.2872190666423006
ATL,0.3102034902664957
BAL,0.662908215455577
BUF,0.6356646411248138
CAR,0.0027741453305996726
CHI,0.26829899424142606
CIN,0.7362219219972496
CLE,0.19262395939253957
DAL,0.5038495979335693
DEN,0.10858212966142997
DET,1.0
GB,0.4217488672319803
HOU,0.14524470222029104
IND,0.14262301212559578
JAX,0.36469498330418687
KC,0.37300344737957947
LA,0.42555872873271744
LAC,0.288320734367683
LV,0.3271982398418423
MIA,0.4789949240494249
MIN,0.667360528571403
NE,0.0
NO,0.3087934414926069
NYG,0.18447135107082
NYJ,0.05553573694266611
PHI,0.9021266168878053
PIT,0.14575939836978427
SEA,0.40254281058418684
SF,0.9472210529186234
TB,0.6009401040853721
TEN,0.11405708118569378
WAS,0.3320781049671715
